Efficiency           Plateau  Turnon   Resol  PtCut  Plat2
2012_190456-999999_SingleMu_barrel   0.955   13.70   1.791  40.000  0.955
2012_190456-999999_SingleMu_endcap   0.896   13.26   2.359  40.000  0.908
2012_190456-999999_SingleMu_forward   0.003   22.82   5.000  40.000  0.002
2012_190456-999999_SingleMu_absetabin0   0.907   23.64   0.569  40.000  0.940
2012_190456-999999_SingleMu_absetabin1   0.826   23.62   0.576  40.000  0.855
2012_190456-999999_SingleMu_absetabin2   0.796   23.52   0.528  40.000  0.820
2012_190456-999999_SingleMu_absetabin3   0.000    0.00   1.000  40.000  0.000
2012_190456-999999_Mu17_Mu8_Mu17Leg_barrel   0.937   16.98   0.345  999.000  0.000
2012_190456-999999_Mu17_Mu8_Mu17Leg_endcap   0.896   16.92   0.330  999.000  0.000
2012_190456-999999_Mu17_Mu8_Mu17Leg_forward   0.859   16.90   0.463  999.000  0.000
2012_190456-999999_Mu17_Mu8_Mu8Leg_barrel   0.959   -1.00   2.915  999.000  0.000
2012_190456-999999_Mu17_Mu8_Mu8Leg_endcap   0.920    3.10   0.321  999.000  0.000
2012_190456-999999_Mu17_Mu8_Mu8Leg_forward   0.904   -1.00   3.273  999.000  0.000
2012_190456-999999_Ele17_Ele8_Ele17Leg_fromEle8_barrel   0.972   18.29   0.383  999.000  0.000
2012_190456-999999_Ele17_Ele8_Ele17Leg_fromEle8_endcap   0.979   17.86   0.973  999.000  0.000
2012_190456-999999_Ele17_Ele8_Ele8Leg_fromEle8_barrel   0.962    4.28   5.000  999.000  0.000
2012_190456-999999_Ele17_Ele8_Ele8Leg_fromEle8_endcap   0.964    9.53   5.000  999.000  0.000
2012_190456-999999_SingleEl_barrel   0.907   28.22   0.701  999.000  0.000
2012_190456-999999_SingleEl_endcap   0.736   28.35   1.211  999.000  0.000
